category_id,category_name,product_id,total
1,Children Bicycles,23,46198.46
1,Children Bicycles,22,39148.55
1,Children Bicycles,21,37528.61
1,Children Bicycles,100,19109.61
1,Children Bicycles,95,14099.53
1,Children Bicycles,91,13649.61
1,Children Bicycles,101,13599.6
1,Children Bicycles,97,11549.67
1,Children Bicycles,96,10849.69
1,Children Bicycles,99,10199.66
1,Children Bicycles,85,9899.7
1,Children Bicycles,98,9799.8
1,Children Bicycles,92,8189.61
1,Children Bicycles,93,8189.61
1,Children Bicycles,94,6999.72
1,Children Bicycles,88,5889.69
1,Children Bicycles,87,5699.7
1,Children Bicycles,89,5669.73
1,Children Bicycles,90,5249.75
1,Children Bicycles,86,3599.76
1,Children Bicycles,83,3599.76
1,Children Bicycles,295,3199.9
1,Children Bicycles,84,2639.76
1,Children Bicycles,265,2609.91
1,Children Bicycles,283,2239.93
1,Children Bicycles,297,2239.92
1,Children Bicycles,282,2239.92
1,Children Bicycles,293,1919.94
1,Children Bicycles,292,1849.95
1,Children Bicycles,271,1679.92
1,Children Bicycles,298,1399.95
1,Children Bicycles,286,1399.95
1,Children Bicycles,276,1279.96
1,Children Bicycles,268,1279.92
1,Children Bicycles,264,1249.95
1,Children Bicycles,269,1199.94
1,Children Bicycles,275,1149.95
1,Children Bicycles,263,989.89
1,Children Bicycles,281,959.97
1,Children Bicycles,274,919.96
1,Children Bicycles,277,739.98
1,Children Bicycles,278,739.98
1,Children Bicycles,289,639.98
1,Children Bicycles,272,579.98
1,Children Bicycles,280,489.99
1,Children Bicycles,266,399.99
1,Children Bicycles,288,389.99
1,Children Bicycles,290,369.99
1,Children Bicycles,296,369.99
1,Children Bicycles,294,369.99
1,Children Bicycles,279,319.99
1,Children Bicycles,273,289.99
1,Children Bicycles,287,279.99
1,Children Bicycles,285,279.99
1,Children Bicycles,262,249.99
1,Children Bicycles,270,209.99
