category_id,category_name,product_id,total
6,Mountain Bikes,7,615998.46
6,Mountain Bikes,4,414698.57
6,Mountain Bikes,8,224998.75
6,Mountain Bikes,43,174899.67
6,Mountain Bikes,5,170407.71
6,Mountain Bikes,40,164999.67
6,Mountain Bikes,3,125998.74
6,Mountain Bikes,47,116599.78
6,Mountain Bikes,28,97499.61
6,Mountain Bikes,2,88498.82
6,Mountain Bikes,6,78488.33
6,Mountain Bikes,42,78199.66
6,Mountain Bikes,41,51449.65
6,Mountain Bikes,45,45239.48
6,Mountain Bikes,36,38317.54
6,Mountain Bikes,46,38069.73
6,Mountain Bikes,39,37499.75
6,Mountain Bikes,29,34999.65
6,Mountain Bikes,142,31999.9
6,Mountain Bikes,27,30999.69
6,Mountain Bikes,30,29999.7
6,Mountain Bikes,31,29393.82
6,Mountain Bikes,35,21657.74
6,Mountain Bikes,33,16449.65
6,Mountain Bikes,115,15999.95
6,Mountain Bikes,38,15399.72
6,Mountain Bikes,128,15192.0
6,Mountain Bikes,140,14999.97
6,Mountain Bikes,139,14999.95
6,Mountain Bikes,138,13499.94
6,Mountain Bikes,124,13491.0
6,Mountain Bikes,32,13159.72
6,Mountain Bikes,137,12995.0
6,Mountain Bikes,122,12499.95
6,Mountain Bikes,44,11879.78
6,Mountain Bikes,37,11779.69
6,Mountain Bikes,141,11199.93
6,Mountain Bikes,131,10396.0
6,Mountain Bikes,120,9999.96
6,Mountain Bikes,123,7999.92
6,Mountain Bikes,34,7519.84
6,Mountain Bikes,135,5999.96
6,Mountain Bikes,117,5879.96
6,Mountain Bikes,136,5399.97
6,Mountain Bikes,130,4599.95
6,Mountain Bikes,129,4599.95
6,Mountain Bikes,132,4499.97
6,Mountain Bikes,133,4499.97
6,Mountain Bikes,134,4499.97
6,Mountain Bikes,113,3919.92
6,Mountain Bikes,126,3289.93
6,Mountain Bikes,118,2999.97
6,Mountain Bikes,127,2349.95
6,Mountain Bikes,119,2349.95
6,Mountain Bikes,116,2249.97
6,Mountain Bikes,114,1739.97
6,Mountain Bikes,112,1519.96
